"Id";"Descricao";"TipoUnidade_id";"Ativo";"NomeExibicao"
"01055005004";"Diretoria de Orçamento , Finanças e Contabilidade - DIOFI/DER";"4";"1";"DIOFI/DER"
"01055005005";"Comissão Setorial de Ética do Departamento de Estradas de Rodagem do Distrito Federal – CSE-DER/DF";"4";"1";"CSE-DER/DF"
"01055006";"COORDENAÇÃO DE PLANEJAMENTO - COPLAN/DER";"4";"1";"COPLAN/DER"
"01055006001";"Gerente de Planejamento e Acompanhamento - GEPAC/DER";"4";"1";"GEPAC/DER"
"01055006001001";"Chefe do Núcleo de Modernização Administrativa - NUMAD/DER";"4";"0";"NUMAD/DER"
"01055006002";"Chefe do Núcleo de Modernização Administrativa - NUMAD/DER";"4";"0";"NUMAD/DER"
"01055006003";"Gerente de Geoprocessamento  - GEGEO/DF";"4";"1";"GEGEO/DF"
"01055007";"COORDENAÇÃO DE INFORMÁTICA - CTINF/DER";"4";"1";"CTINF/DER"
"01055008";"PROCURADORIA JURÍDICA - PROJUR/DER";"4";"1";"PROJUR/DER"
"01055008001";"Assessoria Jurídica - ASJUR/DER";"4";"1";"ASJUR / DER"
"01055009";"CORREGEDORIA - DER";"4";"1";"CORREGEDORIA - DER"
"01055010";"CHEFIA DE GABINETE - DER";"4";"1";""
"01055011";"Corregedoria";"4";"0";"Corregedoria"
"01055012";"JARI / DER";"4";"1";"JARI /DER"
"01055013";"Núcleo de Documentação e Arquivo - NUCDA/DER";"4";"1";"NUCDA/DER"
"01055014";"GERÊNCIA DE INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO - GITIN/DER";"4";"1";"GITIN/DER"
"01055015";"Gerência de Licitações - GELIC/DER";"4";"1";"GELIC/DER"
"01055016";"Assessoria de Comunicação - ASCOM / DER-DF";"4";"1";"ASCOM / DER-DF"
"01056";"DETRAN - Departamento de Trânsito";"3";"1";"DETRAN"
"01056001";"GEREN - Gerência de Engenharia - DETRAN";"4";"0";"GEREN"
"01056001001";"NUSPA - Núcleo de Segurança e Prevenção de Acidente - DETRAN";"4";"0";"NUSPA"
"01056001002";"NUPRO- Núcleo de Estudo e Elaboração de Projeto - DETRAN";"4";"0";"NUPRO"
"01056001003";"ASV I- Área de Sinalização Viária I - DETRAN";"4";"0";"ASV I"
"01056001004";"ASV II- Área de Sinalização Viária II - DETRAN";"4";"0";"ASV II"
"01056001005";"ASV III- Área de Sinalização Viária III - DETRAN";"4";"0";"ASV III"
"01056001006";"ASV IV- Área de Sinalização Viária IV - DETRAN";"4";"0";"ASV IV"
