"Id";"Descricao";"Tema_id";"Ativo"
"395";"Discriminação étnico-racial contra crianças";"8";"1"
"396";"Pedofilia";"8";"1"
"397";"Prostituição de infantil";"8";"1"
"398";"Casa abrigo de menores";"8";"1"
"399";"Funcionamento de unidade de internação de menores";"8";"1"
"400";"Superlotação de unidade de internação de menores";"8";"1"
"401";"Tráfico de drogas envolvendo menor de idade";"8";"1"
"402";"Violência moral";"8";"1"
"403";"Atendimento de saúde a presos,detentos,internos";"8";"0"
"404";"Festas e eventos particulares";"8";"0"
"405";"Apoio a atividades culturais";"2";"1"
"406";"Incentivo a cultura e ao turismo local";"2";"1"
"407";"Valorização das manifestações culturais";"2";"1"
"408";"Participação em evento cultural";"2";"1"
"409";"Bibliotecas públicas";"2";"0"
"410";"Ingressos para eventos culturais";"2";"0"
"411";"Atraso no repasse de verba de incentivo a cultura";"2";"1"
"412";"Conservação de espaço cultural";"2";"1"
"413";"Empresa organizadora de evento cultural";"2";"1"
"414";"Acessibilidade em espaço cultural";"2";"1"
"415";"Conservação do patrimônio cultural";"2";"1"
"416";"Apoio a programas e projetos culturais";"2";"1"
"417";"Manutenção em órgãos e unidades";"2";"0"
"418";"Pagamento a fornecedor do Governo de Brasília";"13";"1"
"419";"Recursos para incentivo à produção cultural";"2";"1"
"420";"Manifestações culturais";"2";"1"
"421";"Programação de eventos culturais";"2";"1"
"422";"Funcionamento da lanchonete";"2";"0"
"423";"Reforma em centro cultural";"2";"1"
"424";"Superfaturamento em eventos culturais";"2";"1"
"425";"Horário de funcionamento de biblioteca ";"2";"1"
"426";"Aquisição de ingressos para eventos artísticos, culturais e desportivos";"2";"1"
"427";"Colegiado setorial de cultura";"2";"1"
"428";"Ampliar horário de funcionamento de Biblioteca ";"2";"1"
"429";"Concessão de desconto na aquisição de ingressos para eventos artísticos, culturais e desportivos";"2";"1"
"430";"Cumprimento de carga horária de trabalho de servidor público do DF";"13";"0"
"431";"Atuação do Colegiado Setorial de Cultura ";"2";"0"
"432";"Desacato a servidor público";"13";"1"
"433";"Falta de manutenção em equipamentos e,ou órgãos e unidades da secretaria de cultura";"2";"1"
"434";"Falta,atraso no pagamento a fornecedor";"2";"0"
"435";"Recurso à decisão judicial";"8";"0"
"436";"Solicitação de assistência jurídica";"8";"1"
"437";"Atendimento inadequado prestado por servidor";"8";"0"
"438";"Veículo estacionado em local irregular";"12";"1"
"439";"Fiscalização de trânsito em vias e ruas";"12";"1"
"440";"Veículo abandonado";"12";"0"
"441";"Autuação,notificação de trânsito";"12";"1"
"442";"Regularização de veículo";"12";"1"
"443";"Site do Detran";"12";"0"
